num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2355	2497.141567	35.973748	13.267888	3.671906	4.755024
2357	2499.231964	35.921747	13.180791	3.672587	4.689119
2359	2501.318455	35.821617	13.173454	3.673360	4.901501
2361	2503.410881	35.899405	13.102946	3.672928	5.237328
2363	2505.497489	35.676118	12.973506	3.678828	4.385642
2365	2507.593371	35.621014	13.042265	3.679895	4.172058
2367	2509.686451	35.527960	13.067952	3.684307	4.520187
2369	2511.775347	35.586190	13.026680	3.684642	4.289181
2371	2513.869322	35.487359	13.007701	3.687642	4.547023
2373	2515.957213	35.499225	12.961205	3.690181	4.325827
2375	2518.048803	35.391000	12.956139	3.693284	4.236589
2377	2520.138651	35.443405	12.854576	3.695198	4.614113
2379	2522.224785	35.382758	12.950228	3.701878	4.004235
2381	2524.319424	35.350173	12.825741	3.697380	4.272024
2383	2526.406675	35.363320	12.887401	3.696697	4.125431
2385	2528.498292	35.238636	12.869673	3.702159	4.452478
2387	2530.584988	35.129265	12.731035	3.706272	4.499260
2389	2532.669781	35.056967	12.745554	3.710448	4.301232
2391	2534.755419	35.127265	12.688942	3.704085	4.077071
2393	2536.838672	35.007099	12.664361	3.703284	4.409806
2395	2538.921777	34.979037	12.650516	3.703487	3.977114
2397	2541.006721	34.914381	12.641148	3.696654	3.921346
2399	2543.092554	34.830918	12.626514	3.696313	3.920441
2401	2545.177549	34.781269	12.571215	3.694070	3.959889
2403	2547.266163	34.725874	12.663139	3.696922	4.449308
2405	2549.358812	34.706994	12.635038	3.697858	4.503657
2407	2551.450594	34.556410	12.574423	3.705475	4.222233
2409	2553.542919	34.648709	12.653181	3.706456	4.440093
2411	2555.635148	34.545357	12.598408	3.709650	4.233089
2413	2557.723169	34.545703	12.588890	3.713625	4.329336
2415	2559.812422	34.496690	12.580822	3.716102	4.377003
2417	2561.902529	34.445879	12.553908	3.718698	4.085759
2421	2566.075662	34.323108	12.496580	3.725993	4.123694
2423	2568.167583	34.218180	12.427014	3.731174	4.056051
2425	2570.258816	34.107003	12.418154	3.730517	4.146682
2427	2572.351180	33.953411	12.396333	3.735076	4.332019
2429	2574.444486	33.878080	12.361300	3.736602	4.266990
2431	2576.540590	33.873308	12.351491	3.735630	4.090141
2433	2578.636075	33.810049	12.320935	3.736194	4.121833
2435	2580.729914	33.813464	12.371820	3.739883	4.396596
2439	2584.917441	33.801255	12.284169	3.743306	4.150884
2441	2587.007971	33.780532	12.266703	3.744500	4.055902
2443	2589.104339	33.828648	12.249368	3.742377	4.046517
2445	2591.191033	33.796857	12.252535	3.746631	4.033258
2447	2593.283877	33.789767	12.263819	3.750301	4.082206
2449	2595.374321	33.787183	12.259022	3.751352	4.021314
2451	2597.461514	33.732800	12.247721	3.752127	3.255942
2453	2599.551969	33.629260	12.125006	3.759031	3.920828
2455	2601.643309	33.555045	12.164199	3.760983	3.682792
2457	2603.733214	33.556185	12.166787	3.762449	3.939204
2459	2605.820802	33.615281	12.210357	3.764387	3.588287
